rank,model,mae,rmse,r2
1,lstm,3.098438819409376,3.783820827750882,-0.005075422159405596
2,random_forest,3.1713218804096552,3.805216174885056,-0.016473812718295955
3,linear_baseline,3.2287918835338694,3.8258946338473088,-0.027551356020077522
4,linear_regression,3.23117973435093,3.82649982116063,-0.027876461799275276
5,hybrid_coordinated,3.2131385918354365,3.828562024899775,-0.028984660916576033
6,gradient_boosting,3.222346115879849,3.8369184208088827,-0.033481381622076034
7,naive_persistence,4.214201829323106,5.436151749326362,-1.0745345358512175
