rank,model,mae,rmse,r2
1,linear_regression,0.0,0.0,1.0
2,hybrid_coordinated,3.218650817871094e-05,4.013938046595565e-05,0.9999999997948698
3,gradient_boosting,0.0005369186401367188,0.0008657088590263172,0.9999999045816221
4,random_forest,0.2147369384765625,0.2896495424911519,0.9893184568445735
5,linear_baseline,0.6377179622650146,0.7724861947534012,0.9240251660850487
6,naive_persistence,1.512500286102295,1.7150074637789514,0.62552715116251
7,lstm,2.4722561836242676,2.7221362890312366,0.05657357572863375
