rank,model,mae,rmse,r2
1,lstm,1.0216468680552553,1.0818406614498504,-0.006145254357860175
2,linear_regression,1.0131769813522247,1.0832140187062351,-0.008701405195391754
3,linear_baseline,1.0133601290359344,1.0832161717285902,-0.008705415037945086
4,random_forest,1.0159285370732698,1.0893467610830716,-0.02015549907825087
5,gradient_boosting,1.0145776161485516,1.0898668040173214,-0.021129755048151067
6,hybrid_coordinated,1.0210197648292096,1.0974790223239161,-0.03544381291188348
7,naive_persistence,1.101910055763045,1.562647968128178,-1.0992124101307912
