rank,model,mae,rmse,r2
1,lstm,0.6059141024737291,0.651575795740743,-0.009533656222240783
2,random_forest,0.6008303582788234,0.6531285840597686,-0.01435108487853931
3,linear_baseline,0.598220752278564,0.6543238835173023,-0.018067237546534942
4,linear_regression,0.5975430678553745,0.6545090210976496,-0.018643432837023077
5,gradient_boosting,0.5983432370652135,0.6550522073968879,-0.02033490763688861
6,hybrid_coordinated,0.6032683259284712,0.6579730707311691,-0.029454496093579863
7,naive_persistence,0.7002978603125098,0.9408326154954411,-1.1048233116582407
