rank,model,mae,rmse,r2
1,random_forest,1.2979513356383419,1.4133350633877562,-0.021262515240959345
2,gradient_boosting,1.2926650517423388,1.415500761357145,-0.02439473884039356
3,linear_baseline,1.3051725115094865,1.42531359349971,-0.038647018924250265
4,primary_linear,1.3051725115094865,1.42531359349971,-0.038647018924250265
5,hybrid_coordinated,1.3033323882811025,1.4257984744024308,-0.03935381884577849
6,linear_regression,1.3063904476357657,1.4281829781337316,-0.04283315409932764
7,naive_persistence,1.4993755524786905,2.011474817666114,-1.0685990669302048
