timestamp,crop_type,predicted_temperature_c,action,fan_on,spray_on,status_note
2025-01-06T14:00:00,green_chilli,29.675479888916016,fan_on,1,0,high_temperature
2025-01-06T15:00:00,green_chilli,30.382137298583984,fan_on,1,0,high_temperature
2025-01-06T16:00:00,green_chilli,31.504552841186523,fan_and_spray_on,1,1,critical_high_temperature
2025-01-06T17:00:00,green_chilli,32.20389938354492,fan_and_spray_on,1,1,critical_high_temperature
2025-01-06T18:00:00,green_chilli,30.86608123779297,fan_on,1,0,high_temperature
2025-01-06T19:00:00,green_chilli,28.757923126220703,idle,0,0,optimal_range
2025-01-06T20:00:00,green_chilli,26.31330680847168,idle,0,0,optimal_range
2025-01-06T21:00:00,green_chilli,23.65239715576172,idle,0,0,optimal_range
