rank,model,mae,rmse,r2
1,linear_regression,0.0,0.0,1.0
2,hybrid_coordinated,3.0279159545898438e-05,3.859141840037977e-05,0.9999999998103862
3,gradient_boosting,0.0005369186401367188,0.0008662523625439545,0.9999999044617521
4,random_forest,0.2147369384765625,0.2896489786328271,0.9893184959190459
5,linear_baseline,0.6576073169708252,0.7860763626889372,0.9213284181906318
6,naive_persistence,1.5125000476837158,1.715007255249814,0.625527154132552
7,lstm,2.738037347793579,2.966518925135102,-0.12042464875975578
