rank,model,mae,rmse,r2
1,random_forest,2.0199521689667628,2.329324585427877,-0.018691456501111925
2,linear_baseline,2.034489478143888,2.3349678379909586,-0.025148429715482996
3,primary_linear,2.034489478143888,2.3349678379909586,-0.025148429715482996
4,linear_regression,2.0354019858387793,2.3359019642247567,-0.026248067055978264
5,gradient_boosting,2.03176982541919,2.3390606362671824,-0.02718768318506759
6,hybrid_coordinated,2.042455426963842,2.3463508594825275,-0.035308012747092575
7,naive_persistence,2.519786115783241,3.305173822887301,-1.061719382043573
