crop_type,samples_total,train_sequences,test_sequences,target_column,model_coordination,best_model,best_model_rmse,models_evaluated,mae,rmse,mape_pct,r2,sample_count,backend,total_records,fan_on_events,spray_on_events,fan_and_spray_events,idle_events
brinjal,70,50,8,indoor_temperature_c,"class_adaptive_constrained_weighted_ensemble[linear_regression:0.39, gradient_boosting:0.27, random_forest:0.13, knn_regressor:0.11, svr_rbf:0.07, gru:0.03]",linear_regression,0.0,7,0.09678769111633301,0.124160583383254,0.34247097957358347,0.9980372910768858,8,"class_adaptive_constrained_weighted_ensemble[linear_regression:0.39, gradient_boosting:0.27, random_forest:0.13, knn_regressor:0.11, svr_rbf:0.07, gru:0.03]",8,6,3,3,2
green_chilli,70,50,8,indoor_temperature_c,"class_adaptive_constrained_weighted_ensemble[linear_regression:0.39, gradient_boosting:0.27, random_forest:0.13, knn_regressor:0.11, svr_rbf:0.07, gru:0.04]",linear_regression,0.0,7,0.09485554695129395,0.13614692185079458,0.3450183908155024,0.9976400437093237,8,"class_adaptive_constrained_weighted_ensemble[linear_regression:0.39, gradient_boosting:0.27, random_forest:0.13, knn_regressor:0.11, svr_rbf:0.07, gru:0.04]",8,5,2,2,3
ladysfinger,70,50,8,indoor_temperature_c,"class_adaptive_constrained_weighted_ensemble[linear_regression:0.37, gradient_boosting:0.25, random_forest:0.12, knn_regressor:0.10, gru:0.09, svr_rbf:0.07]",linear_regression,0.0,7,0.11446499824523926,0.1349833771433261,0.38272520760804557,0.9976802083173459,8,"class_adaptive_constrained_weighted_ensemble[linear_regression:0.37, gradient_boosting:0.25, random_forest:0.12, knn_regressor:0.10, gru:0.09, svr_rbf:0.07]",8,6,4,4,2
tomato,70,50,8,indoor_temperature_c,"class_adaptive_constrained_weighted_ensemble[linear_regression:0.39, gradient_boosting:0.27, random_forest:0.13, knn_regressor:0.11, svr_rbf:0.07, gru:0.04]",linear_regression,0.0,7,0.09980940818786621,0.13348863580706363,0.3641312678784424,0.9977313003842082,8,"class_adaptive_constrained_weighted_ensemble[linear_regression:0.39, gradient_boosting:0.27, random_forest:0.13, knn_regressor:0.11, svr_rbf:0.07, gru:0.04]",8,5,2,2,3
