rank,model,mae,rmse,r2
1,lstm,4.764351021595884,5.5978181123812725,-0.002614443094026475
2,linear_baseline,4.875492441342391,5.654531595885388,-0.023033041863598003
3,linear_regression,4.877188665286396,5.655776589045377,-0.023483586469730255
4,random_forest,4.869809505685234,5.662186632939284,-0.025804856542760435
5,gradient_boosting,4.8797181472931825,5.670428959704241,-0.02879351561400889
6,hybrid_coordinated,4.881693565629617,5.6802653809046,-0.032365881525244555
7,naive_persistence,6.14998630546708,7.989343633128299,-1.0422955586180667
