rank,model,mae,rmse,r2
1,gradient_boosting,0.24666404724121094,0.25237126323157677,-0.5922692145543373
2,naive_persistence,0.4500007629394531,0.4527699309281996,-4.124976158278513
3,hybrid_coordinated,0.5164680480957031,0.5164736395586319,-5.668574631689625
4,linear_baseline,0.5392494201660156,0.5398195383420149,-6.2850727685943015
5,primary_linear,0.5392494201660156,0.5398195383420149,-6.2850727685943015
6,linear_regression,0.5544157028198242,0.5545003149096269,-6.686706335844747
7,random_forest,0.5869035720825195,0.592474580970164,-7.775586274856652
