rank,model,mae,rmse,r2
1,linear_regression,0.0,0.0,1.0
2,hybrid_coordinated,3.075599670410156e-05,3.895499852275868e-05,0.9999999998067965
3,gradient_boosting,0.0005366802215576172,0.0008659155355817306,0.9999999045360345
4,random_forest,0.2147369384765625,0.2896489786328271,0.9893184959190459
5,linear_baseline,0.6377170085906982,0.7724851656119297,0.9240253506461555
6,naive_persistence,1.5125000476837158,1.715007255249814,0.625527154132552
7,lstm,2.747044801712036,2.961764826379569,-0.11683637483300968
