rank,model,mae,rmse,r2
1,lstm,1.1554230242907642,1.3493078664953224,-0.008970110769681794
2,random_forest,1.1638713967152525,1.3527342962123248,-0.014100970547865632
3,hybrid_coordinated,1.1823974739857603,1.3628744114032785,-0.029361383207818337
4,linear_baseline,1.185899151163082,1.3665271494674538,-0.034886508900492164
5,gradient_boosting,1.1829687843860035,1.366596664318616,-0.03499180034888738
6,linear_regression,1.1869330185519857,1.3672293572049175,-0.03595036193512158
7,naive_persistence,1.4529450913550148,1.8905921535794106,-0.9808514090729186
